Taxi Rank,Time the taxi join the queue,,,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key
Bergzicht,15:00:00,,15,0,15:00:00,CFM26553,SOMERSET WEST,15,none,16,15:07:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:00:00,CL32601,SOMERSET WEST,15,none,16,15:33:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:41:00,CFM74978,SOMERSET WEST,15,none,16,15:47:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,16:04:00,CFM43453,SOMERSET WEST,15,none,16,16:11:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:05:00,CF173328,EERSTERIVIER,10,T45,16,15:48:00,18-Jun-18,Weekday PM,18Jun-T45-Weekday PM-Bergzicht
Bergzicht,15:01:00,,15.02,0,16:13:00,CL75515,DEVON VALLEY,10,664,16,16:39:00,18-Jun-18,Weekday PM,18Jun-664-Weekday PM-Bergzicht
Bergzicht,15:04:00,,15.07,0,15:07:00,CL64025,KYLEMORE,13,668,16,15:10:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,15:07:00,,15.12,0,15:32:00,CL15204,KAYAMANDI,10,676,16,15:40:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:07:00,,15.12,0,15:17:00,CL61192,KAYAMANDI,10,676,18,15:24:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:07:00,,15.12,0,15:34:00,CL49886,KAYAMANDI,10,676,16,15:42:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:07:00,,15.12,0,15:40:00,CL69507,KAYAMANDI,10,676,16,15:49:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:09:00,,15.15,0,16:17:00,CEY22838,SOMERSET WEST,15,280,16,16:24:00,18-Jun-18,Weekday PM,18Jun-280-Weekday PM-Bergzicht
