Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,13:06,,13.10,0,13:23:00,CL283,KYLEMORE, R13.00 ,668,15,13:34:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:08,,13.13,3,13:43:00,KYKA1WP,KYLEMORE, R13.00 ,668,15,13:42:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:08,,13.13,10,13:48:00,NICKY1WP,KYLEMORE, R13.00 ,668,15,13:49:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:09,,13.15,0,13:11:00,CL49069,KAYAMANDI, R10.00 ,676,15,13:13:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:10,,13.17,0,13:36:00,CL27056,IDASVALLEY, R9.00 ,630,15,13:40:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,13:10,,13.17,0,13:41:00,MJACOBSWP,IDASVALLEY, R9.00 ,630,14,13:46:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,13:10,,13.17,0,13:12:00,CF175499,KAYAMANDI, R10.00 ,676,15,13:15:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:11,,13.18,0,13:18:00,CL12804,KAYAMANDI, R10.00 ,676,15,13:22:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:11,,13.18,0,13:13:00,CL76636,KAYAMANDI, R10.00 ,676,15,13:15:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:14,,13.23,0,13:16:00,CL16548,KAYAMANDI, R10.00 ,676,15,13:18:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:14,,13.23,0,13:17:00,CL37374,KAYAMANDI, R10.00 ,676,15,13:18:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:15,,13.25,16,13:16:00,CL14561,VLOTTENBURG, R10.00 ,663,16,13:33:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,
Bergzicht,13:17,,13.28,0,13:35:00,CL915,JAMESTOWN, R10.00 ,670,16,13:27:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,13:17,,13.28,0,,CL39940,,,none,,,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,13:18,,13.30,0,13:30:00,CL65735,CLOETESVILLE, R9.00 ,636,15,13:34:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,13:18,,13.30,0,13:25:00,CL50176,CLOETESVILLE, R9.00 ,665,15,13:27:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:18,,13.30,0,13:28:00,CL65488,CLOETESVILLE, R9.00 ,665,15,13:30:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:20,,13.33,0,13:43:00,CL18264,IDASVALLEY, R9.00 ,630,14,13:52:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,13:20,,13.33,0,13:49:00,CL17374,IDASVALLEY, R9.00 ,630,14,13:57:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,13:20,,13.33,0,13:56:00,CL30838,IDASVALLEY, R9.00 ,630,15,14:00:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,13:21,,13.35,0,13:21:00,CL53662,KAYAMANDI, R10.00 ,676,15,13:24:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:21,,13.35,0,13:21:00,CL77674,KAYAMANDI, R10.00 ,676,15,13:23:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:22,,13.37,11,13:34:00,CL40350,CLOETESVILLE, R9.00 ,636,15,13:37:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,13:22,,13.37,0,13:24:00,CL32085,KAYAMANDI, R10.00 ,676,15,13:25:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:22,,13.37,0,13:24:00,CL41635,KAYAMANDI, R10.00 ,676,15,13:27:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:23,,13.38,0,13:39:00,CL30861,CLOETESVILLE, R9.00 ,636,15,13:40:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
