Taxi Rank,Time the taxi join the queue,Time,Hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,,Date; Route Number; Survey Period; Taxi Rank,No of Vehicle Trips,Average Vehicle Capacity,Max passengers,% Utilization,Date,Route Code,Survey Period,Survey Location
Bergzicht,6:55:00,0.2881944,6.9166667,9,6:57:00,CL14561,Vlottenburg, R10.00 ,663,2,6:58:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:05:00,0.2951389,7.0833333,0,7:12:00,,KYLEMORE, R10.00 ,none,16,7:09:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:05:00,0.2951389,7.0833333,0,7:06:00,CL41119,Somerset West, R15.00 ,T43,16,7:13:00,18-Jun-18,Weekday AM,18Jun-T43-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:06:00,0.2958333,7.1000000,0,7:13:00,CL75723,Jamestown, R10.00 ,670,16,7:26:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:12:00,0.3000000,7.2000000,10,7:12:00,CL37650,KYLEMORE, R13.00 ,668,5,7:17:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:13:00,0.3006944,7.2166667,0,7:13:00,CL13453,KYLEMORE, R13.00 ,668,10,7:34:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:14:00,0.3013889,7.2333333,0,7:14:00,CL915,Vlottenburg, R10.00 ,670,16,7:18:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:18:00,0.3041667,7.3000000,0,7:25:00,CL17374,Idas Valley, R9.00 ,630,5,7:38:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:18:00,0.3041667,7.3000000,5,7:18:00,CL30351,Kayamandi, R10.00 ,670,13,7:23:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:19:00,0.3048611,7.3166667,0,7:20:00,cl65735,Cloetesville, R10.00 ,636,2,7:20:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:19:00,0.3048611,7.3166667,0,7:21:00,CL32113,Somerset West, R15.00 ,669,16,7:35:00,18-Jun-18,Weekday AM,18Jun-669-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:21:00,0.3062500,7.3500000,0,7:39:00,CL69021,Idas Valley, R9.00 ,630,10,7:47:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:21:00,0.3062500,7.3500000,1,7:22:00,CF173328,Koelenhof, R9.00 ,T45,1,7:23:00,18-Jun-18,Weekday AM,18Jun-T45-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:22:00,0.3069444,7.3666667,0,7:25:00,CL283,KYLEMORE, R13.00 ,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:25:00,0.3090278,7.4166667,1,7:50:00,CL26098,Idas Valley, R9.00 ,630,16,8:01:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:27:00,0.3104167,7.4500000,0,7:42:00,CFM74978,Somerset West, R15.00 ,none,16,8:11:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:28:00,0.3111111,7.4666667,0,7:28:00,CL35700,Jamestown, R10.00 ,670,15,7:31:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:30:00,0.3125000,7.5000000,1,7:30:00,cl27056,Cloetesville, R10.00 ,670,1,7:30:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:33:00,0.3145833,7.5500000,3,7:33:00,CL14561,Vlottenburg, R10.00 ,663,16,7:43:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:33:00,0.3145833,7.5500000,0,7:35:00,CL283WP,KYLEMORE, R13.00 ,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:34:00,0.3152778,7.5666667,0,8:12:00,CL19254,Somerset West, R15.00 ,278,16,8:50:00,18-Jun-18,Weekday AM,18Jun-278-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:34:00,0.3152778,7.5666667,5,7:35:00,LKS1WP,Jamestown, R10.00 ,670,14,7:40:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:36:00,0.3166667,7.6000000,0,,cl50176,Cloetesville, R10.00 ,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:39:00,0.3187500,7.6500000,0,,CFM43453,Somerset West, R15.00 ,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:42:00,0.3208333,7.7000000,0,8:02:00,CL53491,Idas Valley, R9.00 ,630,16,8:24:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:44:00,0.3222222,7.7333333,0,7:44:00,GEORGE3WP,Cloetesville, R10.00 ,665,12,7:48:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:45:00,0.3229167,7.7500000,0,8:30:00,CL66300,Idas Valley, R9.00 ,630,3,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:46:00,0.3236111,7.7666667,0,,CL55040,KYLEMORE, R13.00 ,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:46:00,0.3236111,7.7666667,0,7:46:00,CL49798,Jamestown, R10.00 ,670,16,7:47:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:47:00,0.3243056,7.7833333,0,7:47:00,CL30351,Jamestown, R10.00 ,670,16,7:49:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:49:00,0.3256944,7.8166667,0,,CF101707,Somerset West, R15.00 ,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:50:00,0.3263889,7.8333333,0,,CL18264,Idas Valley, R9.00 ,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:50:00,0.3263889,7.8333333,0,7:50:00,CL64025,KYLEMORE, R13.00 ,668,19,7:52:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:52:00,0.3277778,7.8666667,0,,CL26788,Idas Valley, R9.00 ,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:55:00,0.3298611,7.9166667,0,,CL55614,Idas Valley, R9.00 ,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:55:00,0.3298611,7.9166667,0,7:55:00,CL30517,Jamestown, R10.00 ,670,16,8:01:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:56:00,0.3305556,7.9333333,3,7:56:00,NICKY1WP,KYLEMORE, R13.00 ,668,9,7:57:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:57:00,0.3312500,7.9500000,5,7:59:00,CL55497,Vlottenburg, R10.00 ,663,0,8:13:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:57:00,0.3312500,7.9500000,0,7:57:00,CL915,Jamestown, R10.00 ,670,16,8:04:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:58:00,0.3319444,7.9666667,0,8:00:00,CL37650,KYLEMORE, R13.00 ,668,3,8:07:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:59:00,0.3326389,7.9833333,0,,CEY22838,Somerset West, R15.00 ,278,,9:00:00,18-Jun-18,Weekday AM,18Jun-278-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:59:00,0.3326389,7.9833333,0,,CY22838,Idas Valley, R9.00 ,279,,9:00:00,18-Jun-18,Weekday AM,18Jun-279-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:59:00,0.3326389,7.9833333,0,7:59:00,CL75515,Devon Valley, R10.00 ,664,16,8:02:00,18-Jun-18,Weekday AM,18Jun-664-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:02:00,0.3347222,8.0333333,0,8:24:00,CL76636,Kayamandi, R10.00 ,676,,9:00:00,18-Jun-18,Weekday AM,18Jun-676-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:03:00,0.3354167,8.0500000,0,8:17:00,CL48784,Devon Valley, R10.00 ,664,6,8:59:00,18-Jun-18,Weekday AM,18Jun-664-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:03:00,0.3354167,8.0500000,0,8:32:00,CL16234,Kayamandi, R10.00 ,676,,9:00:00,18-Jun-18,Weekday AM,18Jun-676-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:03:00,0.3354167,8.0500000,0,,CL49069,Kayamandi, R10.00 ,676,0,8:17:00,18-Jun-18,Weekday AM,18Jun-676-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:04:00,0.3361111,8.0666667,0,8:05:00,CL65735,Cloetesville, R9.00 ,636,8,8:14:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:04:00,0.3361111,8.0666667,0,8:00:00,CL62851,Vlottenburg, R10.00 ,663,8,8:30:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:04:00,0.3361111,8.0666667,0,8:06:00,CL75723,Jamestown, R10.00 ,670,17,8:11:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:07:00,0.3381944,8.1166667,0,8:11:00,CL49798,Jamestown, R10.00 ,670,17,8:20:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
