Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,11:45,,11.75,0,12:37:00,CL17374,IDAS VALLEY,9,630,14,12:43:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,11:45,,11.75,0,12:44:00,CL18264,IDAS VALLEY,9,630,14,12:51:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,11:45,,11.75,0,11:54:00,CL62506,KAYAMANDI,10,676,15,12:01:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:48,,11.8,16,11:45:00,CL57680,VLOTTENBURG,10,663,16,12:17:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,
Bergzicht,11:51,,11.85,0,12:00:00,CL44770,CLOETESVILLE,9,665,15,12:09:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,11:51,,11.85,0,11:58:00,CL76636,KAYAMANDI,10,676,15,12:02:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:52,,11.87,0,12:01:00,CF175499,KAYAMANDI,10,676,15,12:03:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:54,,11.9,0,11:56:00,CL67547,KAYAMANDI,10,676,15,11:58:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:55,,11.92,0,12:10:00,CL65735,CLOETESVILLE,9,636,15,12:11:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,11:56,,11.93,0,12:12:00,CL55423,CLOETESVILLE,9,665,15,12:15:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
