Taxi Rank,Time the taxi join the queue,Time,Hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,,Date; Route Number; Survey Period; Taxi Rank,No of Vehicle Trips,Average Vehicle Capacity,Max passengers,% Utilization,Date,Route Code,Survey Period,Survey Location
Bergzicht,6:55:00,0.2881944,6.9166667,9,6:57:00,CL14561,VLOTTENBURG,10,663,2,6:58:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:05:00,0.2951389,7.0833333,0,7:12:00,,KYLEMORE,10,none,16,7:09:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:05:00,0.2951389,7.0833333,0,7:06:00,CL41119,SOMERSET WEST,15,T43,16,7:13:00,18-Jun-18,Weekday AM,18Jun-T43-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:06:00,0.2958333,7.1,0,7:13:00,CL75723,JAMESTOWN,10,670,16,7:26:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:12:00,0.3,7.2,10,7:12:00,CL37650,KYLEMORE,13,668,5,7:17:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:13:00,0.3006944,7.2166667,0,7:13:00,CL13453,KYLEMORE,13,668,10,7:34:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:14:00,0.3013889,7.2333333,0,7:14:00,CL915,VLOTTENBURG,10,670,16,7:18:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:18:00,0.3041667,7.3,0,7:25:00,CL17374,IDAS VALLEY,9,630,5,7:38:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:18:00,0.3041667,7.3,5,7:18:00,CL30351,KAYAMANDI,10,670,13,7:23:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:19:00,0.3048611,7.3166667,0,7:20:00,cl65735,CLOETESVILLE,10,636,2,7:20:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:19:00,0.3048611,7.3166667,0,7:21:00,CL32113,SOMERSET WEST,15,669,16,7:35:00,18-Jun-18,Weekday AM,18Jun-669-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:21:00,0.30625,7.35,0,7:39:00,CL69021,IDAS VALLEY,9,630,10,7:47:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:21:00,0.30625,7.35,1,7:22:00,CF173328,KOELENHOF,9,T45,1,7:23:00,18-Jun-18,Weekday AM,18Jun-T45-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:22:00,0.3069444,7.3666667,0,7:25:00,CL283,KYLEMORE,13,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:25:00,0.3090278,7.4166667,1,7:50:00,CL26098,IDAS VALLEY,9,630,16,8:01:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:27:00,0.3104167,7.45,0,7:42:00,CFM74978,SOMERSET WEST,15,none,16,8:11:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:28:00,0.3111111,7.4666667,0,7:28:00,CL35700,JAMESTOWN,10,670,15,7:31:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:30:00,0.3125,7.5,1,7:30:00,cl27056,CLOETESVILLE,10,670,1,7:30:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:33:00,0.3145833,7.55,3,7:33:00,CL14561,VLOTTENBURG,10,663,16,7:43:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:33:00,0.3145833,7.55,0,7:35:00,CL283WP,KYLEMORE,13,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:34:00,0.3152778,7.5666667,0,8:12:00,CL19254,SOMERSET WEST,15,278,16,8:50:00,18-Jun-18,Weekday AM,18Jun-278-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:34:00,0.3152778,7.5666667,5,7:35:00,LKS1WP,JAMESTOWN,10,670,14,7:40:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:36:00,0.3166667,7.6,0,,cl50176,CLOETESVILLE,10,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:39:00,0.31875,7.65,0,,CFM43453,SOMERSET WEST,15,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:42:00,0.3208333,7.7,0,8:02:00,CL53491,IDAS VALLEY,9,630,16,8:24:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:44:00,0.3222222,7.7333333,0,7:44:00,GEORGE3WP,CLOETESVILLE,10,665,12,7:48:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:45:00,0.3229167,7.75,0,8:30:00,CL66300,IDAS VALLEY,9,630,3,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:46:00,0.3236111,7.7666667,0,,CL55040,KYLEMORE,13,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:46:00,0.3236111,7.7666667,0,7:46:00,CL49798,JAMESTOWN,10,670,16,7:47:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:47:00,0.3243056,7.7833333,0,7:47:00,CL30351,JAMESTOWN,10,670,16,7:49:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:49:00,0.3256944,7.8166667,0,,CF101707,SOMERSET WEST,15,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:50:00,0.3263889,7.8333333,0,,CL18264,IDAS VALLEY,9,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:50:00,0.3263889,7.8333333,0,7:50:00,CL64025,KYLEMORE,13,668,19,7:52:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:52:00,0.3277778,7.8666667,0,,CL26788,IDAS VALLEY,9,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:55:00,0.3298611,7.9166667,0,,CL55614,IDAS VALLEY,9,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:55:00,0.3298611,7.9166667,0,7:55:00,CL30517,JAMESTOWN,10,670,16,8:01:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:56:00,0.3305556,7.9333333,3,7:56:00,NICKY1WP,KYLEMORE,13,668,9,7:57:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:57:00,0.33125,7.95,5,7:59:00,CL55497,VLOTTENBURG,10,663,0,8:13:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:57:00,0.33125,7.95,0,7:57:00,CL915,JAMESTOWN,10,670,16,8:04:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:58:00,0.3319444,7.9666667,0,8:00:00,CL37650,KYLEMORE,13,668,3,8:07:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:59:00,0.3326389,7.9833333,0,,CEY22838,SOMERSET WEST,15,278,,9:00:00,18-Jun-18,Weekday AM,18Jun-278-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:59:00,0.3326389,7.9833333,0,,CY22838,IDAS VALLEY,9,279,,9:00:00,18-Jun-18,Weekday AM,18Jun-279-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,7:59:00,0.3326389,7.9833333,0,7:59:00,CL75515,DEVON VALLEY,10,664,16,8:02:00,18-Jun-18,Weekday AM,18Jun-664-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:02:00,0.3347222,8.0333333,0,8:24:00,CL76636,KAYAMANDI,10,676,,9:00:00,18-Jun-18,Weekday AM,18Jun-676-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:03:00,0.3354167,8.05,0,8:17:00,CL48784,DEVON VALLEY,10,664,6,8:59:00,18-Jun-18,Weekday AM,18Jun-664-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:03:00,0.3354167,8.05,0,8:32:00,CL16234,KAYAMANDI,10,676,,9:00:00,18-Jun-18,Weekday AM,18Jun-676-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:03:00,0.3354167,8.05,0,,CL49069,KAYAMANDI,10,676,0,8:17:00,18-Jun-18,Weekday AM,18Jun-676-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:04:00,0.3361111,8.0666667,0,8:05:00,CL65735,CLOETESVILLE,9,636,8,8:14:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:04:00,0.3361111,8.0666667,0,8:00:00,CL62851,VLOTTENBURG,10,663,8,8:30:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:04:00,0.3361111,8.0666667,0,8:06:00,CL75723,JAMESTOWN,10,670,17,8:11:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:07:00,0.3381944,8.1166667,0,8:11:00,CL49798,JAMESTOWN,10,670,17,8:20:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:09:00,0.3395833,8.15,0,,CL44603,CLOETESVILLE,9,636,0,9:00:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:13:00,0.3423611,8.2166667,0,,CL82366,IDAS VALLEY,9,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:13:00,0.3423611,8.2166667,0,,KYTA1WP,KYLEMORE,13,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:13:00,0.3423611,8.2166667,2,8:21:00,LKS1WP,JAMESTOWN,10,670,15,8:32:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:14:00,0.3430556,8.2333333,0,,MJACOBSWP,IDAS VALLEY,9,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:15:00,0.34375,8.25,0,,CL33233,IDAS VALLEY,9,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:16:00,0.3444444,8.2666667,0,,DEONRWP,IDAS VALLEY,9,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:18:00,0.3458333,8.3,0,,CL82983,CLOETESVILLE,9,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:19:00,0.3465278,8.3166667,0,,CL40350,CLOETESVILLE,9,636,0,9:00:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:19:00,0.3465278,8.3166667,0,,CL61881,KYLEMORE,13,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:20:00,0.3472222,8.3333333,0,,CL31272,DEVON VALLEY,10,664,,9:00:00,18-Jun-18,Weekday AM,18Jun-664-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:22:00,0.3486111,8.3666667,1,8:33:00,CL30351,JAMESTOWN,10,670,17,8:42:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:22,0.3486111,8.3666667,0,8:42:00,CL915,JAMESTOWN,10,670,18,8:56:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:23:00,0.3493056,8.3833333,0,,CL283,KYLEMORE,13,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:23:00,0.3493056,8.3833333,0,,CL19075,DEVON VALLEY,10,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:25:00,0.3506944,8.4166667,0,,CL34620,KYLEMORE,13,668,16,8:30:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:27:00,0.3520833,8.45,0,,CFM54430,SOMERSET WEST,15,76,,9:00:00,18-Jun-18,Weekday AM,18Jun-76-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:27:00,0.3520833,8.45,0,8:28:00,CL14561,VLOTTENBURG,10,663,,9:00:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:28:00,0.3527778,8.4666667,0,,CL74694,CLOETESVILLE,9,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:34:00,0.3569444,8.5666667,0,8:35:00,CL78692,KYLEMORE,13,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:36:00,0.3583333,8.6,0,,VKERWELWP,IDAS VALLEY,9,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:36:00,0.3583333,8.6,4,9:00:00,CL30517,JAMESTOWN,10,670,,9:00:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:37:00,0.3590278,8.6166667,0,,CL24792,SOMERSET WEST,15,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:38:00,0.3597222,8.6333333,0,,CL55423,CLOETESVILLE,9,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:45:00,0.3645833,8.75,0,,CF90182,KOELENHOF,9,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:46:00,0.3652778,8.7666667,0,,CL75723,JAMESTOWN,10,670,,9:00:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:48:00,0.3666667,8.8,0,,3JACOBSWP,CLOETESVILLE,9,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:48:00,0.3666667,8.8,0,,CL64025,KYLEMORE,13,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:54:00,0.3708333,8.9,1,,CL65735,CLOETESVILLE,9,636,0,9:00:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:56:00,0.3722222,8.9333333,0,,CF195069,KOELENHOF,9,511,,9:00:00,18-Jun-18,Weekday AM,18Jun-511-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:59:00,0.3743056,8.9833333,0,,CF195370,,9,511,,9:00:00,18-Jun-18,Weekday AM,18Jun-511-Weekday AM-Bergzicht,,,,,,,,,,
